# x_m,y_m,w_tr_right_m,w_tr_left_m
-22.3874,29.2954,0.7960,0.7960
-22.3874,29.2053,0.8144,0.8144
-22.3874,29.1152,0.8396,0.8396
-22.3874,29.0251,0.8712,0.8712
-22.3874,28.9351,0.8712,0.8712
-22.3874,28.8450,0.8746,0.8746
-22.3874,28.7549,0.8849,0.8849
-22.3874,28.6648,0.9020,0.9020
-22.4775,28.5747,0.8396,0.8396
-22.4775,28.4846,0.8712,0.8712
-22.4775,28.3945,0.8746,0.8746
-22.4775,28.3044,0.8849,0.8849
-22.5676,28.2143,0.8144,0.8144
-22.5676,28.1242,0.8396,0.8396
-22.5676,28.0342,0.8712,0.8712
-22.5676,27.9441,0.9020,0.9020
-22.6577,27.8540,0.8396,0.8396
-22.6577,27.7639,0.8712,0.8712
-22.6577,27.6738,0.8849,0.8849
-22.6577,27.5837,0.9020,0.9020
-22.7478,27.4936,0.8396,0.8396
-22.7478,27.4035,0.8712,0.8712
-22.7478,27.3134,0.9020,0.9020
-22.8379,27.2233,0.8396,0.8396
-22.8379,27.1333,0.8712,0.8712
-22.8379,27.0432,0.9020,0.9020
-22.9280,26.9531,0.8712,0.8712
-22.9280,26.8630,0.9020,0.9020
-22.9280,26.7729,0.8712,0.8712
-23.0181,26.6828,0.8712,0.8712
-23.0181,26.5927,0.9020,0.9020
-23.1082,26.5026,0.8712,0.8712
-23.1082,26.4125,0.9087,0.9087
-23.1082,26.3224,0.8712,0.8712
-23.1983,26.2324,0.9020,0.9020
-23.1983,26.1423,0.8712,0.8712
-23.2883,26.0522,0.8712,0.8712
-23.2883,25.9621,0.9020,0.9020
-23.3784,25.8720,0.8712,0.8712
-23.3784,25.7819,0.9087,0.9087
-23.4685,25.6918,0.8712,0.8712
-23.4685,25.6017,0.9087,0.9087
-23.5586,25.5116,0.8712,0.8712
-23.5586,25.4215,0.9087,0.9087
-23.6487,25.3315,0.8712,0.8712
-23.6487,25.2414,0.9087,0.9087
-23.7388,25.1513,0.8712,0.8712
-23.7388,25.0612,0.9087,0.9087
-23.8289,24.9711,0.8712,0.8712
-23.8289,24.8810,0.9087,0.9087
-23.8289,24.7909,0.8712,0.8712
-23.8289,24.7008,0.8288,0.8288
-23.9190,24.6107,0.8712,0.8712
-23.9190,24.5206,0.8396,0.8396
-23.9190,24.4306,0.8144,0.8144
-23.9190,24.3405,0.7960,0.7960
-23.9190,24.2504,0.7848,0.7848
-24.0091,24.1603,0.8712,0.8712
-24.0091,24.0702,0.8712,0.8712
-24.0091,23.9801,0.8712,0.8712
-24.0091,23.8900,0.8712,0.8712
-24.0091,23.7999,0.8712,0.8712
-24.0091,23.7098,0.8712,0.8712
-24.0091,23.6197,0.8712,0.8712
-23.9190,23.5297,0.7848,0.7848
-23.9190,23.4396,0.7960,0.7960
-23.9190,23.3495,0.8144,0.8144
-23.9190,23.2594,0.8396,0.8396
-23.9190,23.1693,0.8712,0.8712
-23.8289,23.0792,0.8288,0.8288
-23.8289,22.9891,0.8712,0.8712
-23.8289,22.8990,0.9087,0.9087
-23.8289,22.8089,0.8537,0.8537
-23.7388,22.7188,0.8746,0.8746
-23.6487,22.6288,0.9087,0.9087
-23.5586,22.5387,0.9120,0.9120
-23.4685,22.4486,0.9120,0.9120
